date,feature_index,NO2
2024-10-01 00:00:00+00:00,0,
2024-10-02 00:00:00+00:00,0,
2024-10-03 00:00:00+00:00,0,
2024-10-04 00:00:00+00:00,0,
2024-10-05 00:00:00+00:00,0,
2024-10-06 00:00:00+00:00,0,
2024-10-07 00:00:00+00:00,0,7.098977740887287e-05
2024-10-08 00:00:00+00:00,0,
2024-10-09 00:00:00+00:00,0,0.00010519013449084014
2024-10-10 00:00:00+00:00,0,
2024-10-11 00:00:00+00:00,0,7.183956646864924e-05
2024-10-12 00:00:00+00:00,0,
2024-10-13 00:00:00+00:00,0,
2024-10-14 00:00:00+00:00,0,
2024-10-15 00:00:00+00:00,0,
2024-10-16 00:00:00+00:00,0,7.796274439897388e-05
2024-10-17 00:00:00+00:00,0,8.457045462111839e-05
2024-10-18 00:00:00+00:00,0,6.520086026284844e-05
2024-10-19 00:00:00+00:00,0,
2024-10-20 00:00:00+00:00,0,3.258339691253948e-05
2024-10-21 00:00:00+00:00,0,4.892757200044192e-05
2024-10-22 00:00:00+00:00,0,5.8240067220241246e-05
2024-10-23 00:00:00+00:00,0,
2024-10-24 00:00:00+00:00,0,
2024-10-25 00:00:00+00:00,0,
2024-10-26 00:00:00+00:00,0,5.012288157659997e-05
2024-10-27 00:00:00+00:00,0,
2024-10-28 00:00:00+00:00,0,
2024-10-29 00:00:00+00:00,0,9.530863735562888e-05
2024-10-30 00:00:00+00:00,0,
2024-10-31 00:00:00+00:00,0,
2024-11-01 00:00:00+00:00,0,
2024-11-02 00:00:00+00:00,0,
2024-11-03 00:00:00+00:00,0,
2024-11-04 00:00:00+00:00,0,
2024-11-05 00:00:00+00:00,0,
2024-11-06 00:00:00+00:00,0,
2024-11-07 00:00:00+00:00,0,
2024-11-08 00:00:00+00:00,0,9.127262455876917e-05
2024-11-09 00:00:00+00:00,0,
2024-11-10 00:00:00+00:00,0,
2024-11-11 00:00:00+00:00,0,
2024-11-12 00:00:00+00:00,0,
2024-11-13 00:00:00+00:00,0,8.132702350849286e-05
2024-11-14 00:00:00+00:00,0,6.718657095916569e-05
2024-11-15 00:00:00+00:00,0,
2024-11-16 00:00:00+00:00,0,
2024-11-17 00:00:00+00:00,0,
2024-11-18 00:00:00+00:00,0,0.000142358141602017
2024-11-19 00:00:00+00:00,0,2.8849510272266343e-05
2024-11-20 00:00:00+00:00,0,
2024-11-21 00:00:00+00:00,0,
2024-11-22 00:00:00+00:00,0,6.537563604069874e-05
2024-11-23 00:00:00+00:00,0,
2024-11-24 00:00:00+00:00,0,
2024-11-25 00:00:00+00:00,0,
2024-11-26 00:00:00+00:00,0,
2024-11-27 00:00:00+00:00,0,
2024-11-28 00:00:00+00:00,0,
2024-11-29 00:00:00+00:00,0,
2024-11-30 00:00:00+00:00,0,4.713776070275344e-05
2024-12-01 00:00:00+00:00,0,
2024-12-02 00:00:00+00:00,0,
